Team_ID,Team_Name,City,State_Province,Country
GSW,"Golden State Warriors","San Francisco",California,"United States"
LAC,"Los Angeles Clippers","Los Angeles",California,"United States"
LAL,"Los Angeles Lakers","Los Angeles",California,"United States"
SAC,"Sacramento Kings",Sacramento,California,"United States"
DAL,"Dallas Mavericks",Dallas,Texas,"United States"
HOU,"Houston Rockets",Houston,Texas,"United States"
SAS,"San Antonio Spurs","San Antonio",Texas,"United States"
MIA,"Miami Heat",Miami,Florida,"United States"
ORL,"Orlando Magic",Orlando,Florida,"United States"
BRK,"Brooklyn Nets","New York City","New York","United States"
NYK,"New York Knicks","New York City","New York","United States"
Results of query 15
